Name,DI,IR,Samples,Features
kddcup-buffer_overflow_vs_back,0.1,73.43,2233,41
kddcup-rootkit-imap_vs_back,0.173,100.14,2225,41
ecoli2,0.204,5.46,336,7
page-blocks0,0.221,8.79,5472,10
page-blocks-1-3_vs_4,0.229,15.86,472,10
glass0,0.269,2.06,214,9
ecoli-0-1_vs_2-3-5,0.275,9.17,244,7
kr-vs-k-zero_vs_eight,0.289,53.07,1460,6
ecoli-0-1-4-7_vs_2-3-5-6,0.29,10.59,336,7
ecoli1,0.325,3.36,336,7
yeast3,0.346,8.1,1484,8
ecoli-0-6-7_vs_5,0.35,10.0,220,6
yeast-2_vs_4,0.392,9.08,514,8
glass1,0.395,1.82,214,9
ecoli-0-6-7_vs_3-5,0.4,9.09,222,7
yeast5,0.4,32.73,1484,8
ecoli-0-2-6-7_vs_3-5,0.418,9.18,224,7
glass-0-1-6_vs_5,0.422,19.44,184,9
ecoli-0-1-3-7_vs_2-6,0.429,39.14,281,7
yeast-2_vs_8,0.46,23.1,482,8
vehicle1,0.476,2.9,846,18
pima,0.483,1.87,768,8
glass4,0.492,15.46,214,9
ecoli3,0.497,8.6,336,7
yeast-0-2-5-6_vs_3-7-8-9,0.505,9.14,1004,8
glass5,0.511,22.78,214,9
yeast6,0.537,41.4,1484,8
yeast1,0.544,2.46,1484,8
vehicle3,0.552,2.99,846,18
winequality-white-9_vs_4,0.6,32.6,168,11
cleveland-0_vs_4,0.6,12.31,173,13
poker-8-9_vs_6,0.64,58.4,1485,10
haberman,0.667,2.78,306,3
yeast-0-5-6-7-9_vs_4,0.675,9.35,528,8
zoo-3,0.68,19.2,101,16
yeast-0-3-5-9_vs_7-8,0.684,9.12,506,8
flare-F,0.688,23.79,1066,11
abalone-21_vs_8,0.7,40.5,581,8
yeast-1_vs_7,0.713,14.3,459,7
poker-8_vs_6,0.718,85.88,1477,10
poker-9_vs_7,0.75,29.5,244,10
yeast4,0.757,28.1,1484,8
glass-0-1-4-6_vs_2,0.776,11.06,205,9
glass-0-1-6_vs_2,0.8,10.29,192,9
glass2,0.812,11.59,214,9
abalone9-18,0.819,16.4,731,8
yeast-1-2-8-9_vs_7,0.82,30.57,947,8
glass-0-1-5_vs_2,0.835,9.12,172,9
abalone-17_vs_7-8-9-10,0.845,39.31,2338,8
yeast-1-4-5-8_vs_7,0.887,22.1,693,8
abalone-20_vs_8-9-10,0.892,72.69,1916,8
winequality-red-3_vs_5,0.9,68.1,691,11
winequality-red-4,0.917,29.17,1599,11
winequality-red-8_vs_6,0.922,35.44,656,11
winequality-white-3_vs_7,0.93,44.0,900,11
winequality-white-3-9_vs_5,0.944,58.28,1482,11
winequality-red-8_vs_6-7,0.944,46.5,855,11
abalone-19_vs_10-11-12-13,0.956,49.69,1622,8
poker-8-9_vs_5,0.968,82.0,2075,10
abalone19,0.969,129.44,4174,8
