Dataset,Fold,Classifier,Resampler,Metric,Score
yeast-1-2-8-9_vs_7,7,CART,PAO,Precision,0.2857142857142857
yeast-1-2-8-9_vs_7,7,CART,PAO,Recall,0.4
yeast-1-2-8-9_vs_7,7,CART,PAO,AUC,0.6836244541484715
yeast-1-2-8-9_vs_7,7,CART,PAO,G-mean,0.622012510580597
yeast-1-2-8-9_vs_7,7,KNN,PAO,Precision,0.09210526315789473
yeast-1-2-8-9_vs_7,7,KNN,PAO,Recall,0.4666666666666667
yeast-1-2-8-9_vs_7,7,KNN,PAO,AUC,0.6580058224163028
yeast-1-2-8-9_vs_7,7,KNN,PAO,G-mean,0.6295720687981413
yeast-1-2-8-9_vs_7,7,SVM,PAO,Precision,0.10344827586206896
yeast-1-2-8-9_vs_7,7,SVM,PAO,Recall,0.6
yeast-1-2-8-9_vs_7,7,SVM,PAO,AUC,0.7148471615720524
yeast-1-2-8-9_vs_7,7,SVM,PAO,G-mean,0.7055611907456807
yeast-1-2-8-9_vs_7,7,MLP,PAO,Precision,0.08536585365853659
yeast-1-2-8-9_vs_7,7,MLP,PAO,Recall,0.4666666666666667
yeast-1-2-8-9_vs_7,7,MLP,PAO,AUC,0.6514556040756915
yeast-1-2-8-9_vs_7,7,MLP,PAO,G-mean,0.6246978891375154
glass1,8,CART,RBO,Precision,0.6666666666666666
glass1,8,CART,RBO,Recall,0.7368421052631579
glass1,8,CART,RBO,AUC,0.7669717772692601
glass1,8,CART,RBO,G-mean,0.7663797426813761
glass1,8,KNN,RBO,Precision,0.5849056603773585
glass1,8,KNN,RBO,Recall,0.8157894736842105
glass1,8,KNN,RBO,AUC,0.7484744469870328
glass1,8,KNN,RBO,G-mean,0.7454412686277188
glass1,8,SVM,RBO,Precision,0.4848484848484849
glass1,8,SVM,RBO,Recall,0.8421052631578947
glass1,8,SVM,RBO,AUC,0.6746758199847445
glass1,8,SVM,RBO,G-mean,0.6535708405603912
glass1,8,MLP,RBO,Precision,0.58
glass1,8,MLP,RBO,Recall,0.7631578947368421
glass1,8,MLP,RBO,AUC,0.7294050343249427
glass1,8,MLP,RBO,G-mean,0.7286236672745305
glass-0-1-6_vs_5,3,CART,RBU,Precision,0.14705882352941174
glass-0-1-6_vs_5,3,CART,RBU,Recall,1.0
glass-0-1-6_vs_5,3,CART,RBU,AUC,0.8333333333333334
glass-0-1-6_vs_5,3,CART,RBU,G-mean,0.8164965809277259
glass-0-1-6_vs_5,3,KNN,RBU,Precision,0.0625
glass-0-1-6_vs_5,3,KNN,RBU,Recall,0.2
glass-0-1-6_vs_5,3,KNN,RBU,AUC,0.5137931034482759
glass-0-1-6_vs_5,3,KNN,RBU,G-mean,0.4068381021724862
glass-0-1-6_vs_5,3,SVM,RBU,Precision,0.16666666666666666
glass-0-1-6_vs_5,3,SVM,RBU,Recall,1.0
glass-0-1-6_vs_5,3,SVM,RBU,AUC,0.8563218390804598
glass-0-1-6_vs_5,3,SVM,RBU,G-mean,0.8441822541139559
glass-0-1-6_vs_5,3,MLP,RBU,Precision,0.20833333333333331
glass-0-1-6_vs_5,3,MLP,RBU,Recall,1.0
glass-0-1-6_vs_5,3,MLP,RBU,AUC,0.8908045977011494
glass-0-1-6_vs_5,3,MLP,RBU,G-mean,0.8840866447369844
